location,method,Trait,gen.var,error.var,phen.var,h2std,H2.Estimate,H2.SE,H2Cullis,Reptability
PYT2_2021_Mason,Block+Spatial,Plant_height,32.887,3.682,34.727,0.947,0.457456446,0.079225774,0.951588864,0.903177727
PYT2_2021_Mason,Block,Grain_Yield,376636.086,1871.134,377571.654,0.998,0.995056542,0.001025986,0.993495613,0.986991226
PYT2_2021_Mason,Block+Spatial,Grain_Yield,370145.524,0.001,370145.525,1,0.972292586,0.00436946,0.994791658,0.989583317
PYT3_2021_Mason,Block,Test_weight,527.018,144.991,599.513,0.879,0.784242878,0.039892818,0.934470334,0.868940668
PYT3_2021_Mason,Block+Spatial,Test_weight,515.816,114.702,573.166,0.9,0.787607377,0.113045649,0.936602635,0.873205271
PYT3_2021_Mason,Block,Plant_height,30.552,15.266,38.185,0.8,0.666806329,0.057754572,0.893757997,0.787515994
PYT3_2021_Mason,Block+Spatial,Plant_height,26.879,5.282,29.52,0.911,0.362584733,0.075272876,0.927926125,0.855852249
PYT3_2021_Mason,Block,Grain_Yield,266916.689,1820.756,267827.067,0.997,0.993224779,0.00140092,0.993035097,0.986070195
PYT3_2021_Mason,Block+Spatial,Grain_Yield,266693.582,0,266693.582,1,0.939330185,0.009184683,0.994791664,0.989583327
SRWObs_2022_BLAVA,Block,Test_weight,295.278,123.579,336.471,0.878,0.704961232,0.114937707,0.851831459,0.703662917
SRWObs_2022_BLAVA,Block+Spatial,Test_weight,289.592,118.982,329.252,0.88,0.862098381,0.109739283,0.846961005,0.693922009
SRWObs_2022_BLAVA,Block,Plant_height,29.31,8.177,32.036,0.915,0.781882278,0.087394492,0.889486871,0.778973741
SRWObs_2022_BLAVA,Block+Spatial,Plant_height,29.813,3.926,31.122,0.958,0.617088325,0.083044767,0.918479975,0.836959951
SRWObs_2022_BLAVA,Block,Grain_Yield,216427.22,166729.594,272003.752,0.796,0.564852855,0.165203635,0.782895576,0.565791152
SRWObs_2022_BLAVA,Block+Spatial,Grain_Yield,228115.326,123124.293,269156.757,0.848,0.602053689,0.111441896,0.809849702,0.619699404
SRWObs_2022_WARVA,Block,Test_weight,446.64,279.259,539.727,0.828,0.615292247,0.127476382,0.806814123,0.613628246
SRWObs_2022_WARVA,Block+Spatial,Test_weight,480.039,220.204,553.44,0.867,0.782077419,0.110794481,0.832791546,0.665583093
SRWObs_2022_WARVA,Block,Plant_height,27.957,6.885,30.252,0.924,0.802397346,0.068087926,0.898040642,0.796081285
SRWObs_2022_WARVA,Block+Spatial,Plant_height,30.171,2.316,30.943,0.975,0.673342726,0.079831227,0.941042845,0.882085689
SRWObs_2022_WARVA,Block,Grain_Yield,394599.933,71013.027,418270.942,0.943,0.847484857,0.052482821,0.920991723,0.841983445
SRWObs_2022_WARVA,Block+Spatial,Grain_Yield,384682.514,36604.065,396883.869,0.969,0.639733292,0.078415927,0.932911478,0.865822956
SRWPrelim_2022_BLAVA,Block,Test_weight,258.814,80.445,299.036,0.865,0.762880422,0.033284954,0.928740184,0.857480367
SRWPrelim_2022_BLAVA,Block+Spatial,Test_weight,263.27,51.358,288.949,0.911,0.584691268,0.080815333,0.939033557,0.878067113
SRWPrelim_2022_BLAVA,Block,Plant_height,20.545,8.524,24.807,0.828,0.706772906,0.039935931,0.909753929,0.819507857
SRWPrelim_2022_BLAVA,Block+Spatial,Plant_height,20.488,4.482,22.729,0.901,0.510243911,0.078018233,0.931344248,0.862688495
SRWPrelim_2022_BLAVA,Block,Grain_Yield,239649.894,153786.207,316542.997,0.757,0.609120244,0.05016921,0.874295683,0.748591366
SRWPrelim_2022_BLAVA,Block+Spatial,Grain_Yield,256813.126,70774.13,292200.191,0.879,0.437195627,0.075625391,0.916618228,0.833236455
SRWPrelim_2022_WARVA,Block,Test_weight,287.787,25.906,300.74,0.957,0.917415561,0.01267705,0.971740489,0.943480978
SRWPrelim_2022_WARVA,Block+Spatial,Test_weight,284.012,19.965,293.994,0.966,0.894986433,0.043602534,0.973047761,0.946095522
SRWPrelim_2022_WARVA,Block,Plant_height,18.926,7.198,22.525,0.84,0.724467427,0.037946675,0.915509017,0.831018034
SRWPrelim_2022_WARVA,Block+Spatial,Plant_height,20.342,2.925,21.805,0.933,0.516172945,0.0697049,0.949269037,0.898538075
SRWPrelim_2022_WARVA,Block,Grain_Yield,354078.629,72949.907,390553.582,0.907,0.829168543,0.024979222,0.948877978,0.897755956
SRWPrelim_2022_WARVA,Block+Spatial,Grain_Yield,342540.258,35163.895,360122.205,0.951,0.644624123,0.067615587,0.96240462,0.92480924
StateWheat_2022_BLAVA,Block,Test_weight,247.784,31.815,255.738,0.969,0.886211122,0.014020734,0.98098983,0.961979659
StateWheat_2022_BLAVA,Block+Spatial,Test_weight,245.998,23.522,251.879,0.977,0.828937025,0.039641872,0.983309968,0.966619935
StateWheat_2022_BLAVA,Block,Plant_height,22.561,9.542,24.947,0.904,0.702777541,0.031137049,0.948635095,0.897270191
StateWheat_2022_BLAVA,Block+Spatial,Plant_height,21.564,5.213,22.868,0.943,0.483525075,0.059747736,0.963111547,0.926223094
StateWheat_2022_BLAVA,Block,Grain_Yield,222128.583,284463.609,293244.486,0.757,0.438476129,0.043865236,0.875270703,0.750541407
StateWheat_2022_BLAVA,Block+Spatial,Grain_Yield,235694.186,148641.262,272854.501,0.864,0.254503274,0.045669273,0.918178685,0.83635737
UE_Neo_21,Block,Test_weight,439.852,147.595,489.05,0.899,0.748752182,0.063801608,0.934708034,0.869416067
UE_Neo_21,Block+Spatial,Test_weight,445.592,130.898,489.225,0.911,0.79325534,0.197446167,0.936286677,0.872573355
UE_Neo_21,Block,Plant_height,31.982,13.583,36.509,0.876,0.70189251,0.072854248,0.923268541,0.846537082
UE_Neo_21,Block+Spatial,Plant_height,30.776,9.29,33.873,0.909,0.409771858,0.127696387,0.928189242,0.856378483
UE_Neo_21,Block,Grain_Yield,266292.923,153488.553,317455.774,0.839,0.634360824,0.084456779,0.904723853,0.809447707
UE_Neo_21,Block+Spatial,Grain_Yield,261173.441,66116.868,283212.397,0.922,0.260236798,0.088271032,0.930130576,0.860261152
YR3_2021_Wooster,Block,Test_weight,37.964,432.267,254.098,0.149,0.080735212,0.101011794,0.572714585,0.145429169
YR3_2021_Wooster,Block+Spatial,Test_weight,37.962,432.269,254.097,0.149,1,3.407514914,0.572710902,0.145421804
YR3_2021_Wooster,Block,Plant_height,118.798,13.488,125.542,0.946,0.898041371,0.01991193,0.966697297,0.933394593
YR3_2021_Wooster,Block+Spatial,Plant_height,119.287,10.39,124.482,0.958,0.87893641,0.066523345,0.968496177,0.936992355
YR3_2021_Wooster,Block,Grain_Yield,90878.808,315028.084,248392.85,0.366,0.223890774,0.09829877,0.67659948,0.35319896
YR3_2021_Wooster,Block+Spatial,Grain_Yield,98941.531,234602.7,216242.881,0.458,0.209684328,0.101192058,0.701018021,0.402036041
YR4_2021_Wooster,Block,Test_weight,140.552,256.581,204.697,0.687,0.353916381,0.110876887,0.829583962,0.659167925
YR4_2021_Wooster,Block+Spatial,Test_weight,136.126,245.607,197.528,0.689,0.702941286,0.482798568,0.826739595,0.653479191
YR4_2021_Wooster,Block,Plant_height,52.843,12.166,55.885,0.946,0.812857396,0.053761943,0.95380383,0.90760766
YR4_2021_Wooster,Block+Spatial,Plant_height,52.843,12.166,55.885,0.946,1,0.109302229,0.9538037,0.9076074
YR4_2021_Wooster,Block,Grain_Yield,216704.473,215047.169,270466.266,0.801,0.50191928,0.104020541,0.884588248,0.769176496
YR4_2021_Wooster,Block+Spatial,Grain_Yield,216324.302,212114.98,269353.047,0.803,0.942230437,0.419703307,0.884622738,0.769245476
YT_Neo_22,Block,Test_weight,192.376,31.273,208.012,0.925,0.860169683,0.014736523,0.941748875,0.88349775
YT_Neo_22,Block+Spatial,Test_weight,190.251,20.162,200.331,0.95,0.747228521,0.050243068,0.952873419,0.905746838
YT_Neo_22,Block,Plant_height,14.997,14.957,22.475,0.667,0.500655883,0.046228255,0.782413299,0.564826598
YT_Neo_22,Block+Spatial,Plant_height,10.932,5.487,13.676,0.799,0.155787529,0.025769531,0.835843163,0.671686326
YT_Neo_22,Block,Grain_Yield,129227.486,163097.946,210776.459,0.613,0.442067203,0.050167687,0.754091399,0.508182799
YT_Neo_22,Block+Spatial,Grain_Yield,116213.869,60195.841,146311.789,0.794,0.144491365,0.024064852,0.832392292,0.664784585
YT_Urb_22,Block,Test_weight,164.667,37.574,183.454,0.898,0.814212836,0.017558086,0.914280467,0.828560933
YT_Urb_22,Block+Spatial,Test_weight,167.881,20.793,178.278,0.942,0.725456722,0.04735488,0.942054922,0.884109844
YT_Urb_22,Block,Plant_height,16.034,16.444,24.257,0.661,0.493690459,0.043842064,0.762169597,0.524339195
YT_Urb_22,Block+Spatial,Plant_height,15.582,13.423,22.294,0.699,0.398613066,0.05760548,0.774033357,0.548066713
YT_Urb_22,Block,Grain_Yield,211062.556,127441.177,274783.144,0.768,0.623516185,0.034132814,0.824707001,0.649414001
YT_Urb_22,Block+Spatial,Grain_Yield,192231.579,86797.661,235630.409,0.816,0.304605034,0.041265203,0.842511716,0.685023432
